Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100
2,2,2,3,4,2,8,3,3,3,12,3,2,5,6,3,5,4,11,3,4,7,5,5,10,2,3,4,7,4,17,5,6,6,7,7,11,20,2,3,6,3,6,5,4,6,4,4,6,7,10,3,6,4,8,5,6,12,6,5,8,11,6,7,6,7,8,11,10,12,12,13,17,20,26,39,78,2,3,3,3,4,5,3,9,4,4,4,13,4,3,6,7,4,6,5,12,4,5,8
2,3,4,3,3,7,5,3,4,3,7,5,14,4,7,3,4,5,8,3,7,5,6,7,8,27,4,5,5,5,8,5,5,5,12,7,10,15,40,3,4,5,9,4,13,9,10,5,7,7,8,15,4,7,6,7,8,7,22,7,8,10,19,7,10,7,9,9,16,12,16,13,14,19,22,27,40,79,2,3,4,5,4,4,8,6,4,5,4,8,6,15,5,8,4,5,6,9,4,8
2,2,3,2,2,4,4,2,3,2,6,3,8,4,4,2,5,4,8,2,6,4,4,4,6,14,3,3,9,3,6,3,5,8,5,6,8,11,21,2,4,4,8,4,4,4,8,3,6,4,6,8,28,4,4,4,14,7,8,4,6,8,8,5,6,8,8,8,9,8,16,10,14,14,16,20,28,40,80,2,3,3,4,3,3,5,5,3,4,3,7,4,9,5,5,3,6,5,9,3
2,3,2,5,6,3,5,9,2,11,6,3,6,4,4,17,6,3,8,21,3,9,13,5,6,11,2,5,4,5,6,10,4,6,6,5,8,10,14,41,3,3,5,6,3,8,6,7,5,6,5,10,11,3,5,9,5,5,6,9,5,6,5,8,6,7,10,9,9,9,9,9,11,13,14,17,21,27,41,81,2,3,4,3,6,7,4,6,10,3,12,7,4,7,5,5,18,7,4,9
2,2,4,3,4,3,4,5,10,6,4,3,5,3,4,9,4,6,5,11,4,4,6,5,6,8,28,3,4,4,5,6,4,6,14,6,8,8,13,21,2,3,4,5,5,5,4,5,18,5,8,7,10,15,4,5,7,6,7,7,13,5,10,6,10,6,12,11,10,11,12,9,10,11,14,15,18,21,28,41,82,2,3,3,5,4,5,4,5,6,11,7,5,4,6,4,5,10,5,7
2,3,3,3,4,3,3,5,6,5,7,3,5,3,9,7,4,6,6,9,3,5,7,5,5,7,15,3,6,6,12,5,18,5,6,6,6,9,12,15,42,3,5,4,5,11,7,7,8,4,9,5,7,9,29,5,8,11,9,6,8,23,6,7,7,12,8,7,18,9,17,9,11,11,12,17,18,18,23,29,42,83,2,3,4,4,4,5,4,4,6,7,6,8,4,6,4,10,8,5
2,2,2,2,3,2,2,3,4,4,4,2,4,2,4,5,3,3,5,6,2,4,4,3,7,6,10,2,4,3,5,4,7,4,4,4,7,8,8,11,22,2,4,3,4,4,6,3,4,10,4,5,8,6,12,3,4,6,6,4,11,8,4,5,8,6,20,6,7,6,12,7,11,10,10,11,12,14,20,21,28,42,84,2,3,3,3,3,4,3,3,4,5,5,5,3,5,3,5,6
2,3,4,5,2,7,8,4,4,3,4,13,8,15,3,5,2,5,4,5,22,5,6,8,4,7,10,29,4,3,4,4,8,3,4,7,6,7,8,9,16,43,3,4,3,6,7,7,6,5,3,5,13,11,7,16,4,5,6,5,6,7,10,5,5,13,8,5,10,7,7,8,8,11,9,13,13,13,15,17,22,29,43,85,2,3,4,5,6,3,8,9,5,5,4,5,14,9,16,4
2,2,3,3,6,4,5,3,6,4,4,7,5,8,4,5,18,4,11,5,12,3,4,5,5,5,8,15,3,4,5,7,9,10,6,5,5,8,12,9,12,22,2,3,6,4,4,4,14,6,8,4,5,5,8,9,30,4,6,7,8,6,10,13,6,7,6,8,6,7,10,7,9,8,12,10,11,13,14,15,18,22,30,43,86,2,3,3,4,4,7,5,6,4,7,5,5,8,6,9
2,3,2,3,4,3,4,3,3,5,3,5,6,7,3,5,10,3,6,9,8,3,5,4,4,11,6,11,2,3,8,7,4,8,4,5,9,9,6,9,10,15,44,3,3,7,5,5,5,5,5,19,5,6,6,7,11,3,6,5,5,15,6,8,24,5,6,7,9,7,9,9,8,9,8,17,11,11,17,15,15,19,24,29,44,87,2,3,4,3,4,5,4,5,4,4,6,4,6,7
2,2,4,2,4,3,5,2,4,3,2,4,5,5,4,3,8,3,5,4,7,2,4,3,14,5,10,8,30,3,7,3,3,5,19,4,8,5,13,6,12,12,23,2,4,4,4,3,4,8,5,6,4,6,4,5,8,16,4,4,5,6,5,5,10,4,8,6,8,12,7,6,12,8,10,8,8,12,13,11,14,16,19,22,30,44,88,2,3,3,5,3,5,4,6,3,5,4,3,5
2,3,3,5,3,3,4,9,3,3,12,5,4,7,3,6,6,3,8,5,6,23,4,5,7,5,6,8,16,3,4,6,6,6,8,5,10,15,6,9,12,11,16,45,3,5,5,4,5,8,4,5,11,6,6,7,7,11,31,5,6,7,8,6,8,11,5,9,9,7,21,9,8,19,8,12,10,9,17,17,12,15,19,21,23,31,45,89,2,3,4,4,6,4,4,5,10,4,4,13
2,2,2,3,2,2,3,5,2,2,7,3,3,4,2,4,6,2,4,3,5,12,4,3,4,4,4,7,12,2,5,5,4,4,5,3,8,6,5,5,7,8,14,23,2,3,4,3,10,3,6,5,6,3,4,8,6,7,12,3,5,5,4,9,5,6,14,5,6,5,10,5,8,8,6,9,18,8,10,9,10,12,18,15,18,23,30,45,90,2,3,3,3,4,3,3,4,6,3,3
2,3,4,3,6,7,2,5,10,11,6,5,2,3,16,7,8,19,4,7,4,9,3,4,5,3,6,5,9,31,4,5,10,13,4,11,5,5,4,8,7,7,11,17,46,3,4,5,3,7,5,3,10,9,5,4,5,6,9,17,4,7,4,7,4,8,10,25,7,5,7,10,6,7,8,7,7,7,10,10,10,11,13,13,16,19,25,31,46,91,2,3,4,5,4,7,8,3,6,11
2,2,3,2,4,4,8,3,6,6,6,3,14,5,9,3,6,10,5,4,6,7,2,3,10,8,8,5,10,16,3,3,5,5,7,6,4,5,8,5,6,7,9,12,24,2,4,3,8,6,12,5,5,6,20,4,6,6,8,9,32,4,5,5,6,5,6,8,4,6,7,6,10,6,8,8,8,8,8,9,10,10,12,12,14,16,20,23,32,46,92,2,3,3,4,3,5,5,9,4
2,3,2,5,4,3,5,4,4,5,4,3,8,4,6,5,4,7,4,4,4,7,24,3,6,7,4,5,10,11,2,4,4,5,4,5,20,7,5,5,8,7,8,13,16,47,3,3,4,9,4,5,15,5,7,4,5,14,8,7,13,3,4,5,12,7,6,7,10,5,7,7,11,13,6,13,10,7,11,9,10,13,12,11,14,15,16,20,24,31,47,93,2,3,4,3,6,5,4,6
2,2,4,3,3,3,4,3,4,4,7,3,6,4,7,3,10,6,3,5,4,6,13,3,8,5,4,7,6,9,32,3,5,6,8,6,9,4,7,9,7,6,8,9,13,24,2,3,6,5,6,7,6,4,6,11,5,5,6,6,9,17,4,5,10,5,16,6,7,14,6,6,14,7,22,7,7,12,8,9,10,12,10,11,14,14,16,17,22,24,32,47,94,2,3,3,5,4,4,4
2,3,3,3,2,3,5,3,6,3,4,3,5,4,4,3,5,6,2,3,12,5,10,3,3,4,15,5,7,7,17,3,6,4,4,6,6,3,6,5,6,9,9,9,10,17,48,3,5,3,6,5,5,9,4,7,3,8,7,5,11,10,33,5,4,6,9,5,12,7,26,6,11,6,7,5,8,9,20,7,11,11,18,12,10,12,18,15,20,19,26,33,48,95,2,3,4,4,4,3
2,2,2,2,6,2,4,2,3,4,4,2,5,3,4,2,4,4,20,3,5,6,9,2,6,6,6,4,6,6,12,2,3,4,4,3,5,11,4,4,16,5,8,7,9,13,25,2,4,4,4,4,6,4,4,4,8,4,10,4,12,8,12,3,6,4,8,6,5,6,9,4,6,6,6,8,6,6,11,6,8,12,10,8,12,11,12,12,16,16,20,24,32,48,96,2,3,3,3,3
2,3,4,5,4,7,3,9,4,5,4,13,4,3,4,17,5,5,11,4,5,7,7,25,5,5,5,5,12,7,11,33,4,4,6,7,5,7,4,5,8,7,14,13,10,11,18,49,3,4,7,5,4,4,7,5,9,21,7,8,6,7,11,18,4,5,7,5,10,9,8,11,5,7,7,8,11,7,9,9,7,13,19,13,9,13,12,14,13,19,17,21,25,33,49,97,2,3,4,5
2,2,3,3,4,4,2,5,3,3,3,7,8,2,9,9,6,4,8,3,3,4,9,13,4,5,6,3,7,7,8,17,3,4,3,5,5,6,21,5,6,4,7,7,9,10,15,25,2,3,4,4,5,5,6,3,7,7,4,5,9,6,6,10,34,4,8,5,6,4,7,7,15,5,6,9,6,13,8,9,9,7,8,7,9,9,18,13,18,13,14,17,21,25,34,49,98,2,3,3
2,3,2,3,3,3,8,5,2,3,2,5,5,15,4,7,4,3,8,3,4,3,6,9,3,7,3,9,6,5,7,13,2,5,4,3,14,10,8,5,6,7,8,5,6,9,12,17,50,3,3,5,6,3,3,6,4,7,12,4,5,5,5,11,13,3,5,9,6,7,6,5,8,27,5,8,5,7,23,7,6,11,9,8,8,10,9,9,18,11,14,15,17,23,27,33,50,99,2,3
2,2,4,2,2,3,5,3,10,2,12,4,6,8,3,5,4,6,8,2,7,7,10,7,2,4,6,5,6,4,8,9,34,3,3,4,7,5,7,3,6,6,5,6,6,9,13,13,26,2,4,3,4,4,4,4,16,5,7,3,6,6,6,6,8,18,4,4,6,4,8,5,7,9,4,5,6,6,8,5,7,7,13,7,8,8,10,9,10,10,12,13,16,18,20,25,34,50,100,2
